,,,,,,,
,,,,,,,
,,,,,,,
Project Number Name,Project Number,Project Name,Exe Proj Region,Project Description,Category,Charging,Project Status
1052260318: VWT-UK Shepton Malle (1. Backlog Project),1052260318,VWT-UK Shepton Mallet MBBR,EUR,VWT-UK IOM manual support for Shaun Hamilton,1. Backlog Project,PS Proj,Active
1052260357: Sonning Common Disk Filter(5. Pipeline Project),1052260357,Sonning Common Disk Filter,EUR,Create O&M,5. Pipeline Project,PS Proj,Active
1052260387: Clowne MBBR (5. Pipeline Project),1052260387,Clowne MBBR,EUR,O&M manual creation,5. Pipeline Project,PS Proj,Active
1052260412: VWT-UK  Burntwood MB (1. Backlog Project),1052260412,VWT-UK  Burntwood MBBR,EUR,VWT-UK IOM manual support for Shaun Hamilton,1. Backlog Project,PS Proj,Active
1052260455: Basingstoke Disc Filter(5. Pipeline Project),1052260455,Basingstoke Disc Filter,EUR,O&M creation ,5. Pipeline Project,PS Proj,Active
1052260529: SPERNAL MBBR (1. Backlog Project),1052260529,SPERNAL MBBR,EUR,create IOM manual for VWT-UK project SPERNAL MBBR (1052260529),1. Backlog Project,PS Proj,Active
105281314: Newport Data Centre(5. Pipeline Project),105281314,Newport Data Centre,EUR,Creation of technical Document Submission ,5. Pipeline Project,PS Proj,Active
105281318: Genta Medical(1. Backlog Project),105281318,Genta Medical,EUR,,1. Backlog Project,Non PS Proj,Active
1103825032: Holcim HR(2. ITO),1103825032,Holcim HR,EUR,PID & PFD,2. ITO,ITO,Active
1111: Grundfos Pumps - Che (8. Trng),1111,Grundfos Pumps - Chennai,INDIA,Site/Supplier Visit - Product,8. Trng,Trng,Active
11223344: CARLO NEW SITE TEST (1. Backlog Project),11223344,CARLO NEW SITE TEST,,,1. Backlog Project,,Active
12023: MISC-SP 12023 ARA KL (1. Backlog Project),12023,MISC-SP 12023 ARA KL,EUR,,1. Backlog Project,,Active
12334: TEST (1. Backlog Project),12334,TEST,,,1. Backlog Project,,Active
1234: TEST_DC (1. Backlog Project),1234,TEST_DC,,,1. Backlog Project,,Active
12345: Regional Products Su (3. Product),12345,Regional Products Support - MEA,MEA/EA/ANZ/ROW,Regional Products Support - MEA,3. Product,Product,Active
123456: EUROPE PDT TEST (1. Backlog Project),123456,EUROPE PDT TEST,,,1. Backlog Project,,Active
1234567: CARLODOCUMENT SETS (1. Backlog Project),1234567,CARLODOCUMENT SETS,,,1. Backlog Project,,Active
1234567788801: CARLODOCUMENT SETS (1. Backlog Project),1234567788801,CARLODOCUMENT SETS,,,1. Backlog Project,,Active
1320317: PROECELL- NAM-AB (3. Product),1320317,PROECELL- NAM-AB,NAM,,3. Product,Product,Active
1320625: IFO- PROFLEX LAM SIE (3. Product),1320625,IFO- PROFLEX LAM SIEMENS ,LAM,,3. Product,Product,Active
1324732: Aquasource-700B-IFO(3. Product),1324732,Aquasource-700B-IFO,LAM,,3. Product,Product,Active
140023262: 373-Lodha_Palava_VFD (1. Backlog Project),140023262,373-Lodha_Palava_VFD,INDIA,,1. Backlog Project,,Active
14002418: 373-Lodha O&M_3MLD (1. Backlog Project),14002418,373-Lodha O&M_3MLD,INDIA,,1. Backlog Project,,Active
140024182: 373-Lodha O&M_3MLD (1. Backlog Project),140024182,373-Lodha O&M_3MLD,INDIA,,1. Backlog Project,,Active
1400245: MISC - 373-140024592 (1. Backlog Project),1400245,MISC - 373-140024592,INDIA,,1. Backlog Project,,Active
140024592: 700 M3 HR TATA SEA W (1. Backlog Project),140024592,700 M3 HR TATA SEA W,,,1. Backlog Project,,Active
153453: Clovewood MBR (Orange County MBR)(2. ITO),153453,Clovewood MBR (Orange County MBR),NAM,,2. ITO,ITO,Active
170216: KSPC Legacy Project (1. Backlog Project),170216,KSPC Legacy Project,NAM,HPD Project,1. Backlog Project,Prgm,Active
1731: WHITBY WSP (2. ITO),1731,WHITBY WSP,NAM,Sat Tank FAB,2. ITO,ITO,Active
191914: MEGA YARN DYEING (1. Backlog Project),191914,MEGA YARN DYEING,,,1. Backlog Project,,Active
192288: TEMPE KYRENE WRF REA (1. Backlog Project),192288,TEMPE KYRENE WRF REA,,,1. Backlog Project,,Active
193166: 2X 20 MLD TERTIARY T (1. Backlog Project),193166,2X 20 MLD TERTIARY T,,,1. Backlog Project,,Active
1XXXXX : ECO 100001 - IFO Doc (3. Product),1XXXXX ,ECO 100001 - IFO Documentation - ECO COntrolled,NAM,Product Team IFO controlled Folder,3. Product,Product,Active
2: QMS - Google apps su (7. Base),2,QMS - Google apps support,INSOURCE,,7. Base,Base,Active
2000000: TEMPLATE DESIGNS (1. Backlog Project),2000000,TEMPLATE DESIGNS,,,1. Backlog Project,,Active
2000022: NA-152687591-E-CELL3 (1. Backlog Project),2000022,NA-152687591-E-CELL3,,,1. Backlog Project,,Active
2000040: VOD (1. Backlog Project),2000040,VOD,,,1. Backlog Project,,Active
2000300BB: ESSECO (3. Product),2000300BB,ESSECO,EUR,,3. Product,Product,Active
2000301: EDI - ECELL -EU (1. Backlog Project),2000301,EDI - ECELL -EU,,,1. Backlog Project,,Active
200499-AP-02: HARRISON HOT SPRINGS (6. Insource Prgm),200499-AP-02,"HARRISON HOT SPRINGS WWTP  PHASE 1, B.C., CANADA",NAM,,6. Insource Prgm,ITO,Active
200500: Moore Haven(3. Product),200500,Moore Haven,NAM,,3. Product,Prod(Proj),Active
2013791: TE KAUWHATA WWTP (1. Backlog Project),2013791,TE KAUWHATA WWTP,EA/ANZ/ROW,2013791 - TE KAUWHATA WWTP,1. Backlog Project,PS Proj,Active
20231078: MISC-202310786 GUM S (1. Backlog Project),20231078,MISC-202310786 GUM S,VWT- VNA,,1. Backlog Project,,Active
2023xxxx: Veolia Gum Springs H (1. Backlog Project),2023xxxx,Veolia Gum Springs Hazardeous Waste Incinerator,VNA,Site Visit,1. Backlog Project,PS Proj,Active
2046290: MARYSVILLE CONTROLS (1. Backlog Project),2046290,MARYSVILLE CONTROLS,,,1. Backlog Project,,Active
20501127: MISC-2050112735 PIPE (1. Backlog Project),20501127,MISC-2050112735 PIPE,VWT- KSA,,1. Backlog Project,,Active
210000: GENERAL PROCESS SUPP (1. Backlog Project),210000,GENERAL PROCESS SUPP,,,1. Backlog Project,,Active
210001: CHEMICAL HANDLING AN (1. Backlog Project),210001,CHEMICAL HANDLING AN,,,1. Backlog Project,,Active
210113: ACTIVATED CARBON FIL (1. Backlog Project),210113,ACTIVATED CARBON FIL,,,1. Backlog Project,,Active
210300: PACAKAGED GRAVITY FI (1. Backlog Project),210300,PACAKAGED GRAVITY FI,,,1. Backlog Project,,Active
210310: GREENLEAF FILTERS (1. Backlog Project),210310,GREENLEAF FILTERS,,,1. Backlog Project,,Active
210450: AZURS FERAZUR MANGA (1. Backlog Project),210450,AZURS FERAZUR MANGA,,,1. Backlog Project,,Active
210507: Coca Cola Bottling (4. Regional prgm),210507,Coca Cola Bottling,NAM,"Note that this is a part of the template initiative for NAM Food & Beverage market community, hence, the man hours need to be charged to NAM programs basecost.",4. Regional prgm,Base,Active
210510: REVERSE OSMOS (1. Backlog Project),210510,REVERSE OSMOS,,,1. Backlog Project,,Active
210511: DSSRO(4. Regional prgm),210511,DSSRO,Veolia NAM,,4. Regional prgm,Prod(Proj),Active
210524: SP pak Starting Poin (2. ITO),210524,SP pak Starting Point,NAM,	Please make edits according to the markups on the drawings,2. ITO,ITO,Active
210530: ACCELATOR  NS (1. Backlog Project),210530,ACCELATOR  NS,,,1. Backlog Project,,Active
210555: TAGGING (1. Backlog Project),210555,TAGGING,,,1. Backlog Project,,Active
210582: DRAWING UDATE (1. Backlog Project),210582,DRAWING UDATE,,,1. Backlog Project,,Active
210585: SUPER PULSATOR SYSTE (1. Backlog Project),210585,SUPER PULSATOR SYSTE,,,1. Backlog Project,,Active
210630: UF - 1500 TEMPLATE - (6. Insource Prgm),210630,UF - 1500 TEMPLATE - Engineering Base,INSOURCE,UF - 1500 Template drawing development in Engineering Base,6. Insource Prgm,Prgm,Active
210667: MBR SYSTEMS (1. Backlog Project),210667,MBR SYSTEMS,,,1. Backlog Project,,Active
"210680: ZW1000, Custom Immer (6. Insource Prgm)",210680,"ZW1000, Custom Immersed UF (TF)",INSOURCE,"ZW1000, Custom Immersed UF (TF) - Template creation in Engineering Base",6. Insource Prgm,Prgm,Active
2111111: CUSTOM PRODUCT DEVEL (1. Backlog Project),2111111,CUSTOM PRODUCT DEVEL,,,1. Backlog Project,,Active
2133: FAKIR APPARELS (1. Backlog Project),2133,FAKIR APPARELS,,,1. Backlog Project,,Active
213318: LABIB DYEING (1. Backlog Project),213318,LABIB DYEING,,,1. Backlog Project,,Active
2200018: BEVERAGE STANDARD (1. Backlog Project),2200018,BEVERAGE STANDARD,,,1. Backlog Project,,Active
221125: MPAK-60 (5. Pipeline Project),221125,MPAK-60,VEPS/EMEA,SOCKET INTERLOCK UPDATE_MPAK 60 GEN-3,5. Pipeline Project,Prod(Proj),Active
221130: BRACKISH WATER RO (1. Backlog Project),221130,BRACKISH WATER RO,,,1. Backlog Project,,Active
"221130AD: PUMP SKID, BW-30-D,GEN-1(10.Services)",221130AD,"PUMP SKID, BW-30-D,GEN-1",EUR,,10.Services,PS Proj,Active
221136: SYSMOBILE ED (1. Backlog Project),221136,SYSMOBILE ED,,,1. Backlog Project,,Active
221150: CATION (1. Backlog Project),221150,CATION,,,1. Backlog Project,,Active
221150E: MobilFlow Max Gen1(10.Services),221150E,MobilFlow Max Gen1,ES Services,,10.Services,PS Proj,Active
23000208: MISC-23000208 ENGINE (1. Backlog Project),23000208,MISC-23000208 ENGINE,VWT- USA,,1. Backlog Project,,Active
233150: SMS GEOMET LITHIUM P (1. Backlog Project),233150,SMS GEOMET LITHIUM P,,,1. Backlog Project,,Active
2340000: PROflex LT4 (3. Product),2340000,PROflex LT4,PRODUCTS,PROflex LT4,3. Product,Product,Active
2350000: P&D PSU 400KW(3. Product),2350000,P&D PSU 400KW,NAM,,3. Product,Product,Active
2350001: OZONIA S(3. Product),2350001,OZONIA S,PRODUCTS,Ozonia S Design support,3. Product,Product,Active
"2350070: PSU NPI Activity, Oz (3. Product)",2350070,"PSU NPI Activity, Oznonia Config Plant Modules",PRODUCTS,NA,3. Product,Product,Active
23600000: AQUASOURCE-1500 NAM (1. Backlog Project),23600000,AQUASOURCE-1500 NAM,,,1. Backlog Project,,Active
2360300: Aquasource M-7B P70 EU(3. Product),2360300,Aquasource M-7B P70 EU,EUR,Aquasource M-7B P70 EU IFO Creation,3. Product,Product,Active
2360400: AquaSource LAM P70 (3. Product),2360400,AquaSource LAM P70,Common,,3. Product,Product,Active
2360400-: AQUASOURCE ZM P150 LAM(3. Product),2360400-,AQUASOURCE ZM P150 LAM,LAM,,3. Product,Product,Active
2360400-Aquasource -I230: Aquasource -I230(3. Product),2360400-Aquasource -I230,Aquasource -I230,LAM,2360400-Aquasource -I230,3. Product,Product,Active
2370000: 2370000 – Z-PAK R (R (3. Product),2370000,2370000 – Z-PAK R (RMS),NAM,ZPAK R Greyscale Control Documents/PLC/HMI,3. Product,Product,Active
237475: COKE ABILENE CSD RO  (1. Backlog Project),237475,COKE ABILENE CSD RO ,,,1. Backlog Project,,Active
237775: TUAS ILM 2(2. ITO),237775,TUAS ILM 2,SEA,,2. ITO,ITO,Active
2378800PDS: Polymer Chemfeed container(10.Services),2378800PDS,Polymer Chemfeed container,EUR,,10.Services,Product,Active
"2378801CHC: SYS-CHEMICAL DOSING,PVC,GENERIC(10.Services)",2378801CHC,"SYS-CHEMICAL DOSING,PVC,GENERIC",ES Services,,10.Services,Product,Active
2378801CS: MULTIFLOW GEN 3 SKIDS(3. Product),2378801CS,MULTIFLOW GEN 3 SKIDS,EUR,,3. Product,PS Proj,Active
2378811: SRO300E-SUPER RO300- (1. Backlog Project),2378811,SRO300E-SUPER RO300-,,,1. Backlog Project,,Active
2378811RLE-AP-01: SUPER RO 300EES SERV (3. Product),2378811RLE-AP-01,SUPER RO 300EES SERVICES VWTS,ES Services,2378811RLE-AP-01 PIPING & INSTRUMENT DIAGRAM mARKP UPDATES,3. Product,Prod(Proj),Active
2378821: SYSSRO600E BWRO 400 (1. Backlog Project),2378821,SYSSRO600E BWRO 400,,,1. Backlog Project,,Active
2378831: SYS MOBILE E (1. Backlog Project),2378831,SYS MOBILE E,,,1. Backlog Project,,Active
2378832: MOBILE EDI 100 GEN3 (1. Backlog Project),2378832,MOBILE EDI 100 GEN3,,,1. Backlog Project,,Active
2378841: DELTAFLOW GEN6  CE  (1. Backlog Project),2378841,DELTAFLOW GEN6  CE ,,,1. Backlog Project,,Active
2378861: VERSAFLO(10.Services),2378861,VERSAFLO,VWT MEA,,10.Services,PS Proj,Active
"2378881: 2378881 - SRO100(10m3/hr-DP) -BWRO, Europe (TF)(10.Services)",2378881,"2378881 - SRO100(10m3/hr-DP) -BWRO, Europe (TF)",ES Services,,10.Services,PS Proj,Active
2378891: ReNEW UF-RO Mobile System (TF)(3. Product),2378891,ReNEW UF-RO Mobile System (TF),EUR,,3. Product,Product,Active
2379531: Seatech-105E Gen1(10.Services),2379531,Seatech-105E Gen1,ES Services,Seatech-105E Gen1,10.Services,Product,Active
2379541: 2025 Growth Fleet Addition - SeaTECH-35(10.Services),2379541,2025 Growth Fleet Addition - SeaTECH-35,GLOBAL,,10.Services,PS Proj,Active
2380000:  PROflex LT8 (3. Product),2380000, PROflex LT8,PRODUCTS,,3. Product,Product,Active
2380011FHL: RO-PFLT8-40F46TF24M2 (1. Backlog Project),2380011FHL,"RO-PFLT8-40F46TF24M2,HP0801XEXSRXPXIXSXX",NAM,Proflex LT8 ITR Order ,1. Backlog Project,Product,Active
"2380028FCL: RO-PFLT8-9F56TF85H2, (3. Product)",2380028FCL,"RO-PFLT8-9F56TF85H2,AB0101CAXXXXXXXXCXC",NAM,,3. Product,Product,Active
"2380029FCL-PG-01: RO-PFLT8-9F35TF85L1, (3. Product)",2380029FCL-PG-01,"RO-PFLT8-9F35TF85L1,AB0201CAXSRFPOX4CXX",NAM,,3. Product,Product,Active
"2380030FCL: RO-PFLT8-9F46TF55H2, (3. Product)",2380030FCL,"RO-PFLT8-9F46TF55H2,HP0109XEXSRXXXI4CXX",NAM,,3. Product,Product,Active
"2380055FBL: RO-PFLT8-6F46TF55M2, (3. Product)",2380055FBL,"RO-PFLT8-6F46TF55M2,AB0101XAXSRXXXI4CLX",NAM,,3. Product,Product,Active
24307: MOORE HAVEN WTP EXPA (1. Backlog Project),24307,MOORE HAVEN WTP EXPA,,,1. Backlog Project,,Active
245922: DFCL_2 X3MLD_SEZ_SUF (1. Backlog Project),245922,DFCL_2 X3MLD_SEZ_SUF,,,1. Backlog Project,,Active
248628: LA BASF GEI (1. Backlog Project),248628,LA BASF GEI,,,1. Backlog Project,,Active
248705: SEGUIN WTP (1. Backlog Project),248705,SEGUIN WTP,,,1. Backlog Project,,Active
25000244: WESTGARTH ENGINEERING SERVICES(1. Backlog Project),25000244,WESTGARTH ENGINEERING SERVICES,NAM,Engineering activities for Westgarth,1. Backlog Project,PS Proj,Active
25042: 25042 Enterprise Frac XV(2. ITO),25042,25042 Enterprise Frac XV,NAM,Request for Updated Proposal ,2. ITO,ITO,Active
2506051: CFO Project(3. Product),2506051,CFO Project,Common,2506051,3. Product,Product,Active
252713: Insource 9001 QMS Ce (7. Base),252713,Insource 9001 QMS Certification Support ,INSOURCE,Insource 9001 QMS Certification Support ,7. Base,Prgm,Active
253839: PORTAGE LA PRAIRIE W (2. ITO),253839,PORTAGE LA PRAIRIE WTP UPGRADE,NAM,PID,2. ITO,ITO,Active
2550000: SEAPROE (1. Backlog Project),2550000,SEAPROE,,,1. Backlog Project,,Active
260812: ION EXCHANGE VWT AUTRALIA(1. Backlog Project),260812,ION EXCHANGE VWT AUTRALIA,GLOBAL,PFD & PID SUPPORT,1. Backlog Project,PS Proj,Active
260812: WOODMAN POINT WATER RESOURCE RECOVERY FACILITY(1. Backlog Project),260812,WOODMAN POINT WATER RESOURCE RECOVERY FACILITY,VWT - Australia,,1. Backlog Project,Prod(Proj),Active
2660901: ES SERVICE (1. Backlog Project),2660901,ES SERVICE,,,1. Backlog Project,,Active
2660911: SYS SRO 600 HIGH FLO (1. Backlog Project),2660911,SYS SRO 600 HIGH FLO,,,1. Backlog Project,,Active
2660921: SYS SRO 300 LOW FLOW (1. Backlog Project),2660921,SYS SRO 300 LOW FLOW,,,1. Backlog Project,,Active
2660931: SYSUF MPAK80 480 3  (1. Backlog Project),2660931,SYSUF MPAK80 480 3 ,,,1. Backlog Project,,Active
2660951MBR-Low Flow MBR: Low Flow MBR(3. Product),2660951MBR-Low Flow MBR,Low Flow MBR,ES Services,2660951MBR-Low Flow MBR_ BILL CODE 00513856,3. Product,Product,Active
"2660961M52: M52 UF Skid, CE, UL, CSA design(1. Backlog Project)",2660961M52,"M52 UF Skid, CE, UL, CSA design",NAM,,1. Backlog Project,PS Proj,Active
2660971: SYS ZW500UF AND BIO  (1. Backlog Project),2660971,SYS ZW500UF AND BIO ,,,1. Backlog Project,,Active
2660972: SYS ZW500UF  2ND GEN (1. Backlog Project),2660972,SYS ZW500UF  2ND GEN,,,1. Backlog Project,,Active
2660981: SYS LARGE ZW500SA UF (1. Backlog Project),2660981,SYS LARGE ZW500SA UF,,,1. Backlog Project,,Active
2660991: SRO200-Small BWRO(1. Backlog Project),2660991,SRO200-Small BWRO,ES Services,,1. Backlog Project,PS Proj,Active
2700000: EDR-2020 (3. Product),2700000,EDR-2020,NAM,,3. Product,PS Proj,Active
27031992: MEA ISO 9001 QMS Act (4. Regional prgm),27031992,MEA ISO 9001 QMS Activities,MEA/EA/ANZ/ROW,MEA ISO 9001 QMS Activities,4. Regional prgm,Prgm,Active
2900000: 2900000-Configured P (3. Product),2900000,"2900000-Configured Pro ROs-Minnetonka, MN, USA",NAM,PROflex Standard FullBuild Flex IO,3. Product,Product,Active
2900001: 29000001 - 29000001  (1. Backlog Project),2900001,29000001 - 29000001 ,,,1. Backlog Project,,Active
"2900006PI: Reily Foods, Acadia  (3. Product)",2900006PI,"Reily Foods, Acadia Beverage, Proflex NAM, project support",PRODUCTS,NA,3. Product,Product,Active
"2900008PB: RO-PF,N,24-3,FFPS,46,TF,AB2,SG1,VD,CL(3. Product)",2900008PB,"RO-PF,N,24-3,FFPS,46,TF,AB2,SG1,VD,CL",NAM,,3. Product,Product,Active
2900008PH: Shelton Assoc Profle (3. Product),2900008PH,"Shelton Assoc Proflex 54-2 Mexico, project support 2900008PH",PRODUCTS,NA,3. Product,Product,Active
"2900009PH: RO-PF,N,54-2,FFPS,46 (3. Product)",2900009PH,"RO-PF,N,54-2,FFPS,46,TF,AB2,SG1,VD",NAM,,3. Product,Product,Active
"2900009PJ: RO-PF,N,30-2,FFPS,46,GD,JB,RS1(3. Product)",2900009PJ,"RO-PF,N,30-2,FFPS,46,GD,JB,RS1",NAM,,3. Product,Product,Active
2900200: Proflex-AP-AB-Contro (3. Product),2900200,Proflex-AP-AB-Control Package,EA/ANZ/ROW,,3. Product,Product,Active
"2900202PB: RO-PF,A,24-3,FFPS,46 (3. Product)",2900202PB,"RO-PF,A,24-3,FFPS,46,GF,AB1,SG1,VD",PRODUCTS,"RO-PF,A,24-3,FFPS,46,GF,AB1,SG1,VD",3. Product,Product,Active
"2900204PAA: RO-PF,A,12-2,FFPS,35 (3. Product)",2900204PAA,"RO-PF,A,12-2,FFPS,35,GF,SI1,EH1,V",PRODUCTS,,3. Product,Product,Active
2900300: MISC - 2900300 - PRO (1. Backlog Project),2900300,MISC - 2900300 - PRO,NAM,,1. Backlog Project,,Active
2900302PI: BUNGE - Proflex 72-3S (3. Product),2900302PI,BUNGE - Proflex 72-3S,PRODUCTS,NA,3. Product,Product,Active
"2900303PE: Apatin Proflex EU, include serbian language as an option(3. Product)",2900303PE,"Apatin Proflex EU, include serbian language as an option",EUR,,3. Product,Product,Active
2900303PJ: SEEN PROJECT(3. Product),2900303PJ,SEEN PROJECT,VEPS/EMEA,,3. Product,Product,Active
2900304PE: HEATHROW PROFLEX 36-2S(3. Product),2900304PE,HEATHROW PROFLEX 36-2S,EUR,,3. Product,Product,Active
2900304PJ: DAMM BREWERY(3. Product),2900304PJ,DAMM BREWERY,EUR,,3. Product,Product,Active
"2900305PA: PANIDOR,RO-PF-EU,18-2(3. Product)",2900305PA,"PANIDOR,RO-PF-EU,18-2",VEPS/EMEA,,3. Product,Prod(Manfu),Active
2900400: PROFLEX LAM PRODUCT  (1. Backlog Project),2900400,PROFLEX LAM PRODUCT ,,,1. Backlog Project,,Active
2900400XX: Proflex NAM IFO (3. Product),2900400XX,Proflex NAM IFO,NAM,,3. Product,Product,Active
2900405PH: Usina Alto alegre project Siemens S71500(3. Product),2900405PH,Usina Alto alegre project Siemens S71500,LAM,,3. Product,Prod(Proj),Active
"2900407PH: RO-PF,L,54-2,FFPS,GF,AB,EH,OLFAR(3. Product)",2900407PH,"RO-PF,L,54-2,FFPS,GF,AB,EH,OLFAR",LAM,,3. Product,Product,Active
2900600: PROECELL LAM PROJECT (3. Product),2900600,PROECELL LAM PROJECT,EUR,DPRO,3. Product,Product,Active
300030: SASKPOWER-CORY-COGENERATION(1. Backlog Project),300030,SASKPOWER-CORY-COGENERATION,NAM,,1. Backlog Project,PS Proj,Active
30056: Thai oil mobile skid (1. Backlog Project),30056,Thai oil mobile skid,SEA,,1. Backlog Project,,Active
3064581: SYSMOBILE FDA 45 US (1. Backlog Project),3064581,SYSMOBILE FDA 45 US,,,1. Backlog Project,,Active
3064587: SYSMOBILE AUTOFILTER (1. Backlog Project),3064587,SYSMOBILE AUTOFILTER,,,1. Backlog Project,,Active
"3064592A: SYS, TANK, M-PAK40, PUMP, 5/6, CE, GEN 1(10.Services)",3064592A,"SYS, TANK, M-PAK40, PUMP, 5/6, CE, GEN 1",GLOBAL,change the borders with new Veolia borders,10.Services,Product,Active
3064597: SYSMOBILE P (1. Backlog Project),3064597,SYSMOBILE P,,,1. Backlog Project,,Active
3064997A: UK-FDA-55(10.Services),3064997A,UK-FDA-55,GLOBAL,"Change the drawing number to 3064997A, New Veolia title",10.Services,Product,Active
3121608: BIOLINS ENERGIA S.A. (1. Backlog Project),3121608,BIOLINS ENERGIA S.A.,LAM,,1. Backlog Project,,Active
325540: Heathrow Airport(5. Pipeline Project),325540,Heathrow Airport,EUR,New project in Europe,5. Pipeline Project,PS Proj,Active
333546: Evaporator Package(2. ITO),333546,Evaporator Package,MEA,Evaporator Package,2. ITO,ITO,Active
338493: OSO CREEK WWTP(2. ITO),338493,OSO CREEK WWTP,NAM,,2. ITO,ITO,Active
339291: MEMPAK400 (1. Backlog Project),339291,MEMPAK400,,,1. Backlog Project,,Active
"352/353: SAYAN 30 MLD CETP,GUJARAT(5. Pipeline Project)",352/353,"SAYAN 30 MLD CETP,GUJARAT",INDIA,Create O&M Manual,5. Pipeline Project,PS Proj,Active
353099: City of Page (2. ITO),353099,City of Page,NAM,,2. ITO,ITO,Active
356419: WINDY GROUP 3 (1. Backlog Project),356419,WINDY GROUP 3,,,1. Backlog Project,,Active
360636: EULIP (1. Backlog Project),360636,EULIP,,,1. Backlog Project,,Active
